zip_code,distance,city,state
07503,7.058,"Paterson","NJ"
10471,15.509,"Bronx","NY"
07511,7.344,"Totowa","NJ"
10557,19.453,"Mount Vernon","NY"
10558,19.453,"Mount Vernon","NY"
07607,8.628,"Maywood","NJ"
07663,7.712,"Saddle Brook","NJ"
07512,7.127,"Totowa","NJ"
07407,7.02,"Elmwood Park","NJ"
10550,18.565,"Mount Vernon","NY"
07513,6.502,"Paterson","NJ"
10553,19.167,"Mount Vernon","NY"
07045,11.904,"Montville","NJ"
07509,6.172,"Paterson","NJ"
07510,6.172,"Paterson","NJ"
07533,6.172,"Paterson","NJ"
07543,6.172,"Paterson","NJ"
07544,6.172,"Paterson","NJ"
10551,19.22,"Mount Vernon","NY"
07662,7.578,"Rochelle Park","NJ"
07501,6.019,"Paterson","NJ"
07504,6.141,"Paterson","NJ"
07505,5.719,"Paterson","NJ"
07670,12.684,"Tenafly","NJ"
07502,5.715,"Paterson","NJ"
10705,15.557,"Yonkers","NY"
10704,16.879,"Yonkers","NY"
07477,7.606,"Wayne","NJ"
07621,10.368,"Bergenfield","NJ"
10552,18.605,"Mount Vernon","NY"
07522,5.151,"Paterson","NJ"
07082,10.341,"Towaco","NJ"
07514,5.151,"Paterson","NJ"
07661,8.355,"River Edge","NJ"
07035,8.812,"Lincoln Park","NJ"
07806,19.95,"Picatinny Arsenal","NJ"
07538,4.812,"Haledon","NJ"
07524,4.698,"Paterson","NJ"
07005,13.758,"Boonton","NJ"
07646,8.999,"New Milford","NJ"
07410,5.132,"Fair Lawn","NJ"
10708,18.158,"Bronxville","NY"
07626,11.71,"Cresskill","NJ"
07474,5.513,"Wayne","NJ"
07653,6.564,"Paramus","NJ"
10702,16.62,"Yonkers","NY"
07842,18.332,"Hibernia","NJ"
07628,9.93,"Dumont","NJ"
10701,15.485,"Yonkers","NY"
07470,5.416,"Wayne","NJ"
07440,7.435,"Pequannock","NJ"
07652,6.264,"Paramus","NJ"
07507,3.533,"Hawthorne","NJ"
07627,11.478,"Demarest","NJ"
10709,19.048,"Eastchester","NY"
07866,16.984,"Rockaway","NJ"
07508,3.138,"Haledon","NJ"
07649,7.667,"Oradell","NJ"
07506,2.959,"Hawthorne","NJ"
07452,3.555,"Glen Rock","NJ"
10703,15.305,"Yonkers","NY"
10707,18.247,"Tuckahoe","NY"
07641,9.301,"Haworth","NJ"
10710,16.969,"Yonkers","NY"
07444,7.528,"Pompton Plains","NJ"
07620,13.315,"Alpine","NJ"
07624,11.027,"Closter","NJ"
07630,7.77,"Emerson","NJ"
07451,3.348,"Ridgewood","NJ"
07450,3.14,"Ridgewood","NJ"
07405,10.934,"Butler","NJ"
07676,5.489,"Township Of Washington","NJ"
10583,19.823,"Scarsdale","NY"
10706,15.73,"Hastings On Hudson","NY"
07640,9.843,"Harrington Park","NJ"
07648,11.364,"Norwood","NJ"
07432,1.452,"Midland Park","NJ"
07457,7.622,"Riverdale","NJ"
07481,0,"Wyckoff","NJ"
07423,3.764,"Ho Ho Kus","NJ"
07442,6.101,"Pompton Lakes","NJ"
07675,8.729,"Westwood","NJ"
07647,11.812,"Northvale","NJ"
07642,6.477,"Hillsdale","NJ"
07417,1.999,"Franklin Lakes","NJ"
10522,15.912,"Dobbs Ferry","NY"
10502,17.08,"Ardsley","NY"
07463,2.456,"Waldwick","NJ"
10964,13.316,"Palisades","NY"
07403,8.674,"Bloomingdale","NJ"
10976,12.625,"Sparkill","NY"
10530,18.628,"Hartsdale","NY"
07677,5.915,"Woodcliff Lake","NJ"
10503,15.411,"Ardsley On Hudson","NY"
07438,18.361,"Oak Ridge","NJ"
07436,4.416,"Oakland","NJ"
10983,11.74,"Tappan","NY"
07420,7.356,"Haskell","NJ"
07401,2.95,"Allendale","NJ"
07435,14.821,"Newfoundland","NJ"
07656,6.971,"Park Ridge","NJ"
10533,16.575,"Irvington","NY"
10968,13.167,"Piermont","NY"
10607,18.842,"White Plains","NY"
07458,4.996,"Saddle River","NJ"
10962,11.513,"Orangeburg","NY"
07645,7.403,"Montvale","NJ"
07465,9.37,"Wanaque","NJ"
07446,4.317,"Ramsey","NJ"
10523,18.687,"Elmsford","NY"
10965,9.436,"Pearl River","NY"
10913,12.12,"Blauvelt","NY"
07430,5.876,"Mahwah","NJ"
07480,12.45,"West Milford","NJ"
10591,18.198,"Tarrytown","NY"
10960,14.249,"Nyack","NY"
10994,12.29,"West Nyack","NY"
10954,10.628,"Nanuet","NY"
07456,8.967,"Ringwood","NJ"
07495,7.286,"Mahwah","NJ"
10982,8.46,"Tallman","NY"
10952,9.063,"Monsey","NY"
07460,18.687,"Stockholm","NJ"
10977,10.405,"Spring Valley","NY"
10989,14.763,"Valley Cottage","NY"
10510,19.869,"Briarcliff Manor","NY"
10901,10.335,"Suffern","NY"
10931,10.349,"Hillburn","NY"
10920,16.192,"Congers","NY"
10956,14.236,"New City","NY"
10974,11.684,"Sloatsburg","NY"
07421,15.415,"Hewitt","NJ"
10970,12.983,"Pomona","NY"
07422,19.124,"Highland Lakes","NJ"
10979,14.801,"Sterling Forest","NY"
10987,13.465,"Tuxedo Park","NY"
10927,16.898,"Haverstraw","NY"
10925,15.72,"Greenwood Lake","NY"
10984,16.019,"Thiells","NY"
10923,16.555,"Garnerville","NY"
10993,17.748,"West Haverstraw","NY"
10980,17.676,"Stony Point","NY"
10912,19.494,"Bellvale","NY"
10975,18.516,"Southfields","NY"
10910,19.583,"Arden","NY"
